/OUT1 X,/OUT1 Y,/OUT2 X,/OUT2 Y,/OUT0 X,/OUT0 Y,/OUT2' X,/OUT2' Y,/OUT1' X,/OUT1' Y,/OUT0' X,/OUT0' Y,/I0/VQ X,/I0/VQ Y,/OUT3 X,/OUT3 Y
2.899999999999982e-06,1.511914558046285,2.899999999999982e-06,1.789996447815831,2.899999999999982e-06,-0.03039854682999807,2.899999999999982e-06,0.005390777707089534,2.899999999999982e-06,1.604082895860165,2.899999999999982e-06,1.859557276506083,2.899999999999982e-06,1.142691505807737,2.899999999999982e-06,1.799193844270546
2.909999999999982e-06,1.55759869913417,2.909999999999982e-06,-0.001268561147487811,2.909999999999982e-06,-0.02425307549186836,2.909999999999982e-06,1.789211237584213,2.909999999999982e-06,1.60308111004074,2.909999999999982e-06,1.853150588077131,2.909999999999982e-06,1.1426245745743,2.909999999999982e-06,0.006182757967074314
2.919999999999982e-06,1.525846954407807,2.919999999999982e-06,1.791334604557492,2.919999999999982e-06,-0.02406835405827058,2.919999999999982e-06,0.008248452588512924,2.919999999999982e-06,1.579793109024288,2.919999999999982e-06,1.852772753560117,2.919999999999982e-06,1.142560406469374,2.919999999999982e-06,0.0003558886368883348
2.929999999999982e-06,1.568849950637626,2.929999999999982e-06,-0.001361843605730959,2.929999999999982e-06,-0.01805434541942299,2.929999999999982e-06,1.791883028076249,2.929999999999982e-06,1.583327826865704,2.929999999999982e-06,1.846173392614717,2.929999999999982e-06,1.142360047497218,2.929999999999982e-06,1.679966999496141
2.939999999999982e-06,1.539240000013062,2.939999999999982e-06,1.790613160693402,2.939999999999982e-06,-0.01672161031653003,2.939999999999982e-06,0.004300878916239459,2.939999999999982e-06,1.555385959108868,2.939999999999982e-06,1.843172381563615,2.939999999999982e-06,1.142567575759233,2.939999999999982e-06,1.799223405747251
2.949999999999982e-06,1.581418093758129,2.949999999999982e-06,-0.001510703543969705,2.949999999999982e-06,-0.009126154859686736,2.949999999999982e-06,1.790426073692166,2.949999999999982e-06,1.557396908395458,2.949999999999982e-06,1.835888268677397,2.949999999999982e-06,1.142508835810828,2.949999999999982e-06,0.005760419173328321
2.959999999999982e-06,1.553534366656191,2.959999999999982e-06,1.791913513648956,2.959999999999982e-06,-0.004039815199683855,2.959999999999982e-06,0.006431784293670769,2.959999999999982e-06,1.525932836465697,2.959999999999982e-06,1.830343736176991,2.959999999999982e-06,1.142450998318254,2.959999999999982e-06,0.000324677316431539
2.969999999999982e-06,1.59127575418762,2.969999999999982e-06,-0.00161558889692632,2.969999999999982e-06,0.0059930495933368,2.969999999999982e-06,1.79278156614681,2.969999999999982e-06,1.534279217037676,2.969999999999982e-06,1.819453224014455,2.969999999999982e-06,1.142258198738493,2.969999999999982e-06,1.692614280232741
2.979999999999982e-06,1.56455571897971,2.979999999999982e-06,1.791467252639809,2.979999999999982e-06,0.007077388428403757,2.979999999999982e-06,0.003333910591513884,2.979999999999982e-06,1.502112359117038,2.979999999999982e-06,1.816106859991945,2.979999999999982e-06,1.142464650388364,2.979999999999982e-06,1.799267981015128
2.989999999999982e-06,1.603616119614838,2.989999999999982e-06,-0.001771670409195234,2.989999999999982e-06,0.01772745973386698,2.989999999999982e-06,1.791464017949837,2.989999999999982e-06,1.504174409767563,2.989999999999982e-06,1.806476681035327,2.989999999999982e-06,1.142411901136346,2.989999999999982e-06,0.005305624042835907
2.999999999999981e-06,1.574995395994748,2.999999999999981e-06,1.792573650881884,2.999999999999981e-06,0.02202443662935341,2.999999999999981e-06,0.005168938463932286,2.999999999999981e-06,1.47701796395376,2.999999999999981e-06,1.801557888290884,2.999999999999981e-06,1.142360932157503,2.999999999999981e-06,0.0002764203122690565
3.009999999999981e-06,1.610663852014138,3.009999999999981e-06,-0.001850156943799695,3.009999999999981e-06,0.03270803783421074,3.009999999999981e-06,1.793507596996462,3.009999999999981e-06,1.487036331179327,3.009999999999981e-06,1.790612706201712,3.009999999999981e-06,1.14217485090803,3.009999999999981e-06,1.701968713785603
3.019999999999981e-06,1.585460169150881,3.019999999999981e-06,1.792414105097817,3.019999999999981e-06,0.03774519104945903,3.019999999999981e-06,0.002751973161089438,3.019999999999981e-06,1.451134850028936,3.019999999999981e-06,1.783159310264022,3.019999999999981e-06,1.142379708806126,3.019999999999981e-06,1.799322094348029
3.029999999999981e-06,1.620640911980452,3.029999999999981e-06,-0.00193236989654083,3.029999999999981e-06,0.05277200515269975,3.029999999999981e-06,1.792383887590319,3.029999999999981e-06,1.457094578241718,3.029999999999981e-06,1.769026299384628,3.029999999999981e-06,1.142332567172978,3.029999999999981e-06,0.004841535026942914
3.039999999999981e-06,1.596721847133495,3.039999999999981e-06,1.793477540247939,3.039999999999981e-06,0.06182849948616545,3.039999999999981e-06,0.004157933099092593,3.039999999999981e-06,1.419977322542547,3.039999999999981e-06,1.760211710998172,3.039999999999981e-06,1.142284944224511,3.039999999999981e-06,0.000250956053619702
3.049999999999981e-06,1.628851598660089,3.049999999999981e-06,-0.00199921029848188,3.049999999999981e-06,0.07525589269016986,3.049999999999981e-06,1.794222928368683,3.049999999999981e-06,1.432937614613742,3.049999999999981e-06,1.745590502101636,3.049999999999981e-06,1.142102939352308,3.049999999999981e-06,1.708897177217597
